name,number,year,extraction_annual,extraction_cumulative,transfers_in_annual,transfers_in_cumulative,expenses_annual,balance,transfers_out,distribution,city_admin_costs,finance_costs,bank,finance_costs_2,bank_2,url,creation,expiration
Addison South,150,2019,5307287,33999645,-,-,11057532,7504978,537000,176000,62138.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_150_AddisonSouthAR19.pdf,5/9/2007,12/31/2031
Archer/Central,099,2019,505122,9722355,-,240000,123996,2028105,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_099_ArcherCentralAR19.pdf,5/17/2000,12/31/2024
Archer Courts,067,2019,416550,5896082,-,2235487,116820,2166970,112000,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_067_ArcherCourtsAR19.pdf,5/12/1999,12/31/2023
Archer/Western,163,2019,1009673,2198703,1400000,1400000,145219,2936339,-,-,10260.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_163_ArcherWesternAR19.pdf,2/11/2009,12/31/2033
Armitage/Pulaski,151,2019,131153,2093163,-,-,59280,954646,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_151_ArmitagePulaskiAR19.pdf,6/13/2007,12/31/2031
Austin Commercial,156,2019,1242783,11573604,-,235000,1233392,5143663,141000,-,14259.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_156_AustinCommercialAR19.pdf,9/27/2007,12/31/2031
Avalon Park/South Shore,123,2019,500936,8390027,-,-,403401,2981730,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_123_AvalonSouthShoreAR19.pdf,7/31/2002,12/31/2026
Avondale,167,2019,177403,761141,-,2900000,28319,1515045,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_167_AvondaleAR19.pdf,7/29/2009,12/31/2033
Belmont/Central,081,2019,4803812,50304691,-,938,1093719,18557115,-,-,51198.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_081_BelmontCentralAR19.pdf,1/12/2000,12/31/2024
Belmont/Cicero,082,2019,1302774,18351123,-,-,59993,5143917,-,-,15660.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_082_BelmontCiceroAR19.pdf,1/12/2000,12/31/2024
Bronzeville,061,2019,4822973,61015827,1400000,6800000,1861305,28629998,-,-,57627.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_061_BronzevilleAR19.pdf,11/4/1998,12/31/2022
Bryn Mawr/Broadway,013,2019,2660846,30164314,-,4684947,51810,6237138,2239000,-,31020.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_013_BrynMawrBroadwayAR19.pdf,12/11/1996,12/31/2032
